gameId,target,speaker1,speaker2,group1,group2,sameGroup,similarity,window,metric
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN79ZDP3YNFFHHQA302PJDP,01KJN796KT7FCNV2F9QNCQDSES,C,C,1,0.7903650999069214,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN79ZDP3YNFFHHQA302PJDP,01KJN78B0TFR8F59JDGD057XNS,C,A,0,0.7283720970153809,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN79ZDP3YNFFHHQA302PJDP,01KJN78M7563R5D9TQE5G142DA,C,C,1,0.28287166357040405,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN79ZDP3YNFFHHQA302PJDP,01KJN79Y7T0VZNKHTSJRZWTDZ5,C,B,0,0.17104455828666687,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN788SPAKVVBHX9T9FDQWAF,01KJN791EPN054R2NTQQ1BFXJ5,B,A,0,0.7502574324607849,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN788SPAKVVBHX9T9FDQWAF,01KJN796KT7FCNV2F9QNCQDSES,B,C,0,0.6181514859199524,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78B0TFR8F59JDGD057XNS,B,A,0,0.6208946704864502,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN788SPAKVVBHX9T9FDQWAF,01KJN78M7563R5D9TQE5G142DA,B,C,0,0.05683879926800728,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN788SPAKVVBHX9T9FDQWAF,01KJN79Y7T0VZNKHTSJRZWTDZ5,B,B,1,0.4514998197555542,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN791EPN054R2NTQQ1BFXJ5,01KJN796KT7FCNV2F9QNCQDSES,A,C,0,0.7595360279083252,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN791EPN054R2NTQQ1BFXJ5,01KJN78B0TFR8F59JDGD057XNS,A,A,1,0.7037911415100098,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN791EPN054R2NTQQ1BFXJ5,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.10528098046779633,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN791EPN054R2NTQQ1BFXJ5,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.3409801721572876,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN796KT7FCNV2F9QNCQDSES,01KJN78B0TFR8F59JDGD057XNS,C,A,0,0.710280179977417,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN796KT7FCNV2F9QNCQDSES,01KJN78M7563R5D9TQE5G142DA,C,C,1,0.2099684774875641,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN796KT7FCNV2F9QNCQDSES,01KJN79Y7T0VZNKHTSJRZWTDZ5,C,B,0,0.26452335715293884,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78B0TFR8F59JDGD057XNS,01KJN78M7563R5D9TQE5G142DA,A,C,0,0.2818397879600525,phase1_final,first_phrase
01KJN6MMPQTMDYRN709968YFN1,page7-107,01KJN78B0TFR8F59JDGD057XNS,01KJN79Y7T0VZNKHTSJRZWTDZ5,A,B,0,0.2796142101287842,phase1_final,first_phrase
